Origin,0,0,0,0.1,-2,1,1,0,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,-2,1,1,0,0,front,C510,T501,
C510,6292d0,8.9,6.6,7.7,-1,3,1,0.6,0,front,null,D506,
D506,225d6e,2.9,1.35,1.1,-1,3,8.8,0.25,0,front,C509,null,
C509,7a79e6,8.9,6.6,7.7,-1,6.4,8.8,0.6,0,front,R519,null,
R519,ff8e61,1.7,0.51,0.51,1,23.5,1,0.25,0,front,null,D505,
D505,fc9803,2,5,1.5,1,23.5,2.01,0.25,270,front,R532,C519,
R532,e0a500,1.6,3.8,0.6,1,26,1,0.25,90,front,null,null,
C519,d49c11,1.25,2.6,1.25,1,23.5,7.51,0.25,90,front,D508,null,
D508,ffc72b,2,4.5,1.2,1,25.25,7.51,0.25,270,front,null,R531,
R531,ff6161,1.6,3.8,0.6,1,25.25,12.51,0.25,90,front,null,R523,
R523,ad430e,0.8,2.2,0.45,1,25.25,16.81,0.25,270,front,C512,R530,
C512,f27a46,1.9,3.8,1.9,1,26.55,16.81,0.25,90,front,null,null,
R530,f24b4b,1.6,3.8,0.6,1,25.25,21.11,0.25,90,front,null,ZD504,
ZD504,e02900,3.6,6.4,2.3,1,25.25,25.41,0.25,90,front,null,null,
T501,cecad488,3.72,22,24.9,0,1,10.65,0.25,0,front,R527,null,
R527,00a5e0,0.51,1.7,0.51,-1,5.22,10.65,0.25,270,front,R501,C520,
R501,191282,2.6,1.25,0.5,-1,6.23,16.6,0.25,0,front,Q504,null,
Q504,3282bf,5.35,6.85,1,-1,9.33,16.6,0.25,0,front,null,null,
C520,7babd1,0.5,1.7,0.5,-1,5.22,12.85,0.25,90,front,null,C507,
C507,094a66,8.9,6.8,6.1,-1,5.22,23.95,0.6,0,front,null,null,
B_RootHole,0,2,9,0.1,-2,1,1,0,0,back,R518,C525,
R518,3609d9,1.7,0.51,0.51,-1,3,1,0.25,180,back,null,D501,
D501,2e6ef0,1.7,4.3,1.45,-1,3,2.01,0.25,270,back,M503,null,
M503,1a1a1a,14.3,9.4,1.35,0,5.2,1,0.25,270,back,null,R520,
R520,9049A1,0.51,1.7,0.51,-1,5.2,10.9,0.25,270,back,R517,null,
R517,4e1f8c,2.6,1.25,0.6,-1,6.21,10.9,0.25,0,back,ZD501,null,
ZD501,0e5ac4,4.3,1.7,1.45,-1,9.31,10.9,0.25,0,back,null,null,
C525,385369,2.2,0.8,0.8,-1,1,10,0.25,0,back,C511,R515,
C511,5a12a6,3.8,1.9,1.9,-1,3.7,13.1,0.25,180,back,null,null,
R515,6857b5,1.6,3.8,0.6,-1,1,11.3,0.25,90,back,ZD502,D503,
ZD502,470fff,2.9,1.35,0.78,-1,3.1,15.5,0.25,0,back,null,null,
D503,2225d6,5,2,1.5,-1,1,17.35,0.25,0,back,R526,null,
R526,0361ad,2.2,0.8,0.45,-1,6.5,15.5,0.25,0,back,D509,C506,
D509,3181f2,4.3,1.7,1.45,-1,9.2,13.1,0.25,0,back,null,R503,
R503,055d7d,1.6,3.8,0.6,-1,9.2,15.3,0.25,270,back,C505,C518,
C505,092cb8,1.6,3.8,1.6,-1,11.3,15.3,0.25,90,back,null,null,
C518,2e6ef0,2.2,0.8,0.8,-1,9.2,19.6,0.25,180,back,null,null,
C506,1f2a8c,3.8,1.6,1.6,-1,6.5,20.9,0.25,0,back,L501,C502,
L501,368f99,5.2,4.1,2,-1,10.8,20.9,0.25,180,back,null,null,
C502,4595ad,3.8,1.9,1.9,-1,6.5,23,0.25,0,back,null,null,
