Origin,0,0,0,0.1,-2,1,1,0,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,-2,1,1,0,0,front,C525,T501,
C525,385369,0.8,2.2,0.8,-1,3,1,0.25,270,front,null,D506,
D506,225d6e,2.9,1.35,1.1,-1,3,3.7,0.25,180,front,C509,null,
C509,7a79e6,8.9,6.6,7.7,-1,6.4,1,0.6,0,front,R530,null,
R530,f24b4b,1.6,3.8,0.6,1,23.5,1,0.25,90,front,null,R519,
R519,ff8e61,1.7,0.51,0.51,1,23.5,5.3,0.25,180,front,D508,C519,
D508,ffc72b,2,4.5,1.2,1,25.7,1,0.25,270,front,null,null,
C519,d49c11,1.25,2.6,1.25,1,23.5,6.31,0.25,270,front,R532,null,
R532,e0a500,1.6,3.8,0.6,1,25.25,6.31,0.25,90,front,null,R531,
R531,ff6161,1.6,3.8,0.6,1,25.25,10.61,0.25,90,front,null,R523,
R523,ad430e,0.8,2.2,0.45,1,25.25,14.91,0.25,270,front,null,D505,
D505,fc9803,2,5,1.5,1,25.25,17.61,0.25,90,front,null,null,
T501,cecad488,3.72,22,24.9,0,1,10,0.25,0,front,R527,null,
R527,00a5e0,0.51,1.7,0.51,-1,5.22,5.55,0.25,270,front,Q504,C507,
Q504,3282bf,5.35,6.85,1,-1,6.23,8.8,0.25,0,front,null,C510,
C510,6292d0,8.9,6.6,7.7,-1,6.23,16.15,0.6,0,front,null,null,
C507,094a66,8.9,6.8,6.1,-1,5.22,23.95,0.6,0,front,null,null,
B_RootHole,0,2,9,0.1,-2,1,1,0,0,back,C520,ZD502,
C520,7babd1,0.5,1.7,0.5,-1,3,1,0.25,90,back,null,D501,
D501,2e6ef0,1.7,4.3,1.45,-1,3,3.2,0.25,270,back,M503,null,
M503,1a1a1a,14.3,9.4,1.35,0,5.2,1,0.25,270,back,null,R518,
R518,3609d9,0.51,1.7,0.51,-1,5.2,10.9,0.25,90,back,null,null,
ZD502,470fff,2.9,1.35,0.78,-1,1,10,0.25,0,back,null,R526,
R526,0361ad,2.2,0.8,0.45,-1,1,11.85,0.25,0,back,C518,D503,
C518,2e6ef0,2.2,0.8,0.8,-1,3.7,13.1,0.25,180,back,R520,ZD501,
R520,9049A1,1.7,0.51,0.51,-1,6.4,10.9,0.25,0,back,R517,R515,
R517,4e1f8c,2.6,1.25,0.6,-1,8.6,10.9,0.25,180,back,R503,null,
R503,055d7d,1.6,3.8,0.6,-1,11.7,10.9,0.25,270,back,null,null,
R515,6857b5,1.6,3.8,0.6,-1,6.4,11.91,0.25,90,back,null,null,
ZD501,0e5ac4,4.3,1.7,1.45,-1,3.7,16.21,0.25,0,back,null,null,
D503,2225d6,5,2,1.5,-1,1,18.41,0.25,0,back,C505,null,
C505,092cb8,1.6,3.8,1.6,-1,6.5,18.41,0.25,90,back,C511,C506,
C511,5a12a6,3.8,1.9,1.9,-1,8.6,15.2,0.25,0,back,null,R501,
R501,191282,2.6,1.25,0.5,-1,8.6,17.6,0.25,0,back,D509,null,
D509,3181f2,4.3,1.7,1.45,-1,11.7,17.6,0.25,180,back,null,null,
C506,1f2a8c,3.8,1.6,1.6,-1,6.5,22.71,0.25,180,back,L501,C502,
L501,368f99,5.2,4.1,2,-1,10.8,19.8,0.25,0,back,ZD504,null,
ZD504,e02900,3.6,6.4,2.3,1,23.5,1,0.25,90,back,null,C512,
C512,f27a46,1.9,3.8,1.9,1,23.5,17.8,0.25,270,back,null,null,
C502,4595ad,3.8,1.9,1.9,-1,6.5,24.81,0.25,0,back,null,null,
