Origin,0,0,0,0.1,-2,1,1,0,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,-2,1,1,0,0,front,C505,T501,
C505,092cb8,3.8,1.6,1.6,-1,3,1,0.25,0,front,R503,C509,
R503,055d7d,3.8,1.6,0.6,-1,7.3,1,0.25,180,front,C510,null,
C510,6292d0,8.9,6.6,7.7,-1,11.6,1,0.6,0,front,null,null,
C509,7a79e6,8.9,6.6,7.7,-1,3,8.8,0.6,0,front,D505,C507,
D505,fc9803,5,2,1.5,1,20.1,8.8,0.25,0,front,null,null,
C507,094a66,8.9,6.8,6.1,-1,3,16.6,0.6,0,front,D506,ZD501,
D506,225d6e,2.9,1.35,1.1,-1,13.1,8.8,0.25,0,front,null,ZD502,
ZD502,470fff,2.9,1.35,0.78,-1,13.1,10.65,0.25,0,front,Q504,R515,
Q504,3282bf,5.35,6.85,1,-1,16.5,11.3,0.25,0,front,null,D508,
D508,ffc72b,2,4.5,1.2,1,16.5,18.65,0.25,270,front,null,null,
R515,6857b5,3.8,1.6,0.6,-1,13.1,23.65,0.25,0,front,null,null,
ZD501,0e5ac4,4.3,1.7,1.45,-1,3,24.6,0.25,0,front,C506,null,
C506,1f2a8c,3.8,1.6,1.6,-1,7.8,24.6,0.25,0,front,C511,D503,
C511,5a12a6,3.8,1.9,1.9,-1,12.1,25.75,0.25,0,front,null,null,
D503,2225d6,5,2,1.5,-1,7.8,28.15,0.25,0,front,R532,null,
R532,e0a500,3.8,1.6,0.6,1,20.3,18.65,0.25,0,front,C519,R523,
C519,d49c11,2.6,1.25,1.25,1,24.6,11.3,0.25,0,front,null,null,
R523,ad430e,2.2,0.8,0.45,1,20.3,20.75,0.25,0,front,R530,null,
R530,f24b4b,3.8,1.6,0.6,1,23,20.75,0.25,0,front,null,null,
T501,cecad488,3.72,22,24.9,0,1,26.8,0.25,0,front,R527,null,
R527,00a5e0,0.51,1.7,0.51,-1,5.22,26.8,0.25,270,front,R526,C518,
R526,0361ad,2.2,0.8,0.45,-1,6.23,30.65,0.25,0,front,ZD504,null,
ZD504,e02900,6.4,3.6,2.3,1,15.93,49.05,0.25,0,front,R531,null,
R531,ff6161,3.8,1.6,0.6,1,22.83,22.85,0.25,180,front,R519,null,
R519,ff8e61,1.7,0.51,0.51,1,27.13,22.85,0.25,0,front,null,null,
C518,2e6ef0,2.2,0.8,0.8,-1,5.22,31.95,0.25,180,front,C525,null,
C525,385369,2.2,0.8,0.8,-1,7.92,31.95,0.25,0,front,C512,R501,
C512,f27a46,3.8,1.9,1.9,1,17.62,53.15,0.25,180,front,null,C520,
C520,7babd1,1.7,0.5,0.5,-1,17.62,55.55,0.25,0,front,null,null,
R501,191282,2.6,1.25,0.5,-1,7.92,33.25,0.25,0,front,null,null,
B_RootHole,0,2,9,0.1,-2,1,1,0,0,back,R520,L501,
R520,9049A1,1.7,0.51,0.51,-1,3,1,0.25,0,back,R517,D501,
R517,4e1f8c,2.6,1.25,0.6,-1,5.2,1,0.25,0,back,null,R518,
R518,3609d9,1.7,0.51,0.51,-1,5.2,2.75,0.25,0,back,null,null,
D501,2e6ef0,1.7,4.3,1.45,-1,3,2.01,0.25,270,back,null,null,
L501,368f99,5.2,4.1,2,-1,1,10,0.25,0,back,D509,M503,
D509,3181f2,4.3,1.7,1.45,-1,6.7,3.76,0.25,0,back,null,null,
M503,1a1a1a,14.3,9.4,1.35,0,1,14.6,0.25,270,back,null,C502,
C502,4595ad,3.8,1.9,1.9,-1,1,24.5,0.25,0,back,null,null,
